sku,brand,fccIds,functions,oemPartNumbers,descriptor,confidence,rawText
ACURA-915,ACURA,MLBHLIK-1T,"L, U, P",72147-TL4-A21,,catalog label extraction - review,"MLBHLIK-1T | L, U, P | 72147-TL4-A21 / Driver 1"
ACURA-917,ACURA,KR5V21; KR5V2X,"L, U, T, P",72147-TZ3-A21; 72147-TZ3-A22,,catalog label extraction - review,"KR5V21, KR5V2X | L, U, T, P | 72147-TZ3-A21, 72147-TZ3-A22"
ACURA-918,ACURA,KR5T21; KR5V21 L,,72147-TJB-A01,,catalog label extraction - review,"KR5T21, KR5V21 | L, U, HH, P | 72147-TJB-A01"
ACURA-919,ACURA,KR5995364,"L, U, H, RSH, P",72147-TJB-A41,,catalog label extraction - review,"KR5995364 | L, U, H, RSH, P | 72147-TJB-A41"
ACURA-920,ACURA,KR5V2X,"L, U, T, P",72147-T6N-A01,,catalog label extraction - review,"KR5V2X | L, U, T, P | 72147-T6N-A01"
ACURA-921,ACURA,KR5TP-2,"L, U, T, P",72147-TYA-A21,,catalog label extraction - review,"KR5TP-2 | L, U, T, P | 72147-TYA-A21"
ACURA-924,ACURA,KR5T21,"L, U, T, P",72147-TGV-A01,,catalog label extraction - review,"KR5T21 | L, U, T, P | 72147-TGV-A01"
ACURA-925,ACURA,KR5TP-2,"L, U, T, P",6EP44LXHAA,,catalog label extraction - review,"KR5TP-2 | L, U, T, P | 72147-3S5-A01 | ALFAROMEO-1 | KR5ALFA434 | L, U, T, RS, P | 6WN70LXHAA, 6EP44LXHAA"
AUDI-1951,AUDI,MYT8Z0837231,"L, U, T, P",,,catalog label extraction - review,"MYT8Z0837231 | L, U, T, P | 4DO.837.231 E"
AUDI-1953,AUDI,MZ241081964,"L, U, P",,,catalog label extraction - review,"MZ241081964 | L, U, P | 4DO.837.231 D, 4DO.B37.231 D"
AUDI-1955,AUDI,MYT8Z0837231,"L, U, T, P",,,catalog label extraction - review,"MYT8Z0837231 | L, U, T, P | 8ZO.837.231 F"
AUDI-1957,AUDI,MYT8Z0837231,"L, U, T, P",,,catalog label extraction - review,"MYT8Z0837231 | L, U, T, P | 4DO.837.231 M"
