ML_PN	LR_ID	MW_ID	TI P/N	ALIASES
FDPH0110	FRD110	FORD-R8198	TIK-FOR-101R	140098, FRD110N, OEM-FORD-R8198, 164-R8198, 181070, TIK-FOR-101N, FRD110M3N-A2C931426(5),
CHPV0725	ULK725	CHRY-1721	TIK-DOG-113R	7FF25LXHAB, 201001,
FDPH0152	FRD152	TIK-LIN-29	171326.0	164-R8278, FRD152M3N-A2C931426(5), FORD-R8278,
FDPH0154	FRD154	FORD-R8244	171323.0	164-R8244, OEM-FORD-R8244,
FDPT0065	FRD065	FORD-R8109	TIK-FOR-60R	FORD-R8109 RC, 164-R8109, 181089, TIK-FOR-60N,
FDPH0306	FRD306	FORD-R8355	TIK-FOR-148R	164-R8355, 199406, SC-5946046, FRD306M3N-A3C108397(5),
FDPT0094	FRD094	FORD-R8150	181097.0	164-R8150, TIK-FOR-87, TIK-FOR-87R, TIK-FOR-87N,
FDSB0020	FRD020	FORD-R8092	TIK-FOR-33	164-R8092, FORD-R8092-B46 RC, TIK-FOR-33R, TIK-FOR-33N, 171342,
GMFB0028	ULK425	SC-5927058	TIK-GM-102N	5927058, 111949, 171461
FDSB0021	FRD021	FORD-R7995		164-R7995, FORD-R7995 RC,
GMFR0165	ULK165	GM-875	182235.0	GMFR0165_ULK165, 13504265, 182235
GMFR0304	ULK304	GM-918		13530752, ULK304
GMFR0809	ULK047	GM-809	182238.0	182238,
GMFT0428	ULK428	GM-843	TIK-GM-47N	ULK428S, SC-5927057, 13586120, 111947
GMFA0083		GM-821		93192428, 171368, OEM-GM-821,
GMKZ0086	B86	P1106		P1106/B86
GMMK0106	B106	P1115	91293.0	P1115/B106, 10036448228253,
GMPA0302	ULK302	GM-892	181126.0	13529639, 13519177, TIK-CHV-96R, TIK-CHV-96N, ULK302HYQ4EA(3),
GMPB0162	ULK162	GM-849	181110.0	181110, TIK-CHV-73R, TIK-CHV-73N, 13529662, GMPT0162, ULK162NLBB,
GMPB0178	ULK178	GM-856	181113.0	ULK178, 13529663, ULK178HYQ4AA(5),
GMPB0441	ULK441	GM-931	181136.0	13547793, TIK-CHV-128R, TIK-CHV-128N,ULK441HYQ4ES(5),
GMPH0060	ULK060	CAD-1149	180989.0	SC-5931857, 22865375,
GMPH0060	ULK060	CAD-1149	ULK060NBG009768T(5)	GMPH0060_ULK060, 22865375
GMPH0109	ULK109	GM-889	181124.0	13584502.0
GMPH0109	ULK109	GM-889	TIK-GMC-17	TIK-GMC-17N, TIK-GMC-17R,
GMPH0109	ULK109	GM-889	ULK109HYQ1AA(5)	ULK109HYQ1AA(5)-5 PACK, 13584502, GMPH0109_ULK109_BULK
GMPH0142	ULK142	CAD-1174	180997.0	13598528.0
GMPH0142	ULK142	CAD-1174	TIK-CAD-51	TIK-CAD-51R, TIK-CAD-51N
GMPH0179	ULK179	GM-893	ULK179HYQ4EA(5)	GMPH0179_ULK179, 13529636R
GMPH0179	ULK179	GM-893	181127.0	GM-893_181127, 13529636,
GMPH0179	ULK179	GM-893	TIK-CHV-95	TIK-CHV-95R, TIK-CHV-95N,
GMPH0212	ULK212	GM-880	181122.0	13529650, GMPH0212_181122
GMPH0212	ULK212	GM-880	TIK-CHV-92	TIK-CHV-92R, TIK-CHV-92N,
GMPH0421	ULK421	CAD-1185	181004.0	13544052.0
GMPH0421	ULK421	CAD-1185	TIK-CAD-66	TIK-CAD-66R, TIK-CAD-66N,
GMPH0421	ULK421	CAD-1185	ULK421HYQ2ES(5)	13564995, ULK421HYQ2ES(5),
GMPH0468	ULK468	GM-1003	ULK468HYQ1ES(5)	GMPH0468_ULK468_BULK, 13522895, 13547797,
GMPH2899	ULK2899	GM-938	198156.0	13547801, ULK2899HYQ1AS(5), TIK-GMC-38R, TIK-GMC-38N,
GMPM0126	ULK126			GM-841, 13508280, ULK126HYQ1AA(6),
GMPM0134	ULK134	GM-840	181107.0	13529634, 181107,
GMPM0134	ULK134	GM-840	TIK-CHV-64	TIK-CHV-64R, TIK-CHV-64N
GMPM0447	ULK447	GM-925	TIK-CHV-119R	13560207, 171525, TIK-CHV-119N, GM-925 RC,
CHPA0089	ULK089	CHRY-1613	TIK-JEP-46R	68105087AJ, 181017,
GMPR0182	ULK182	GM-850	181111.0	GMPR0182_181111, 13529664, ULK182HYQ4AA(4), TIK-CHV-69R,TIK-CHV-69N,GMPR0182_ULK182_BULK,
GMPR0712	ULK712	GM-955	197150.0	13547829.0
GMPR0712	ULK712	GM-955	TIK-CHV-131	TIK-CHV-131R, TIK-CHV-131N,
GMPR0712	ULK712	GM-955	ULK712HYQ4ES(4)	GMPR0712_ULK712
GMPT0161	ULK161	GM-847	181109.0	GMPT0161_181109, 13529660, 181109
GMPT0161	ULK161	GM-847	TIK-CHV-72	TIK-CHV-72R, TIK-CHV-72N,
GMPV0656	ULK656			GMPV0656_ULK656,13514331, 13548437, 13560205, ULK656YG0G21TB2(5)
GMPV8840	ULK8840	GM-939	200638.0	13560219, ULK8440YG0G21TB2(5), 13548440, 13560219, OEM-GM-939, ULK672, ULK672N,
GMPW0477	ULK477	GM-932	171508.0	13560204, TIK-CHV-122R, TIK-CHV-122N, ULK477YG0G21TB2(5),
GMRB0006	GM006	GM-712	180722.0	10337867, 15859331
GMRB0006	GM006	GM-712	TIK-GM-26	TIK-GM-26R, TIK-GM-26N
GMRM0008	GM008	GM-661	180727.0	15857836, TIK-GM-27R, TIK-GM-27N, GMRM0008_GM008, GM-661 RC,
GMRR0002	GM002	GM-697	180715.0	15913421, 22936098, GMRR0002_180715, TIK-CHV-26R, TIK-CHV-26N,
GMRR0094	GM094	GM-834	180784.0	84540865.0
GMRR0094	GM094	GM-834	TIK-CHV-14	TIK-CHV-14N, TIK-CHV-14R,
GMSB0223	ULK223	CORVETTE-20	171492.0	OEM-CORVETTE-20, 140088, ULK223N
GMSB0223	ULK223	CORVETTE-20	TIK-CHV-81	TIK-CHV-81R, TIK-CHV-81N,
GMSB0223	ULK223	CORVETTE-20	ULK223NBGGD9C04(5)	23465951.0
GMSC0123	ULK123	CORVETTE-19	171516.0	23465955,
GMSC0123	ULK123	CORVETTE-19	ULK123NBGGD9C04(6)
HAFJ0011	ACU011D1	ACURA-889 M1	203579.0	35111-STX-326, ACURA-889 M1 RC, 182320
HAHA0049	HON049	HON-486	HON049MLBHLIK-1T(3)	HON-486 RC, HON-486-DS, 182313, HON-486, HON013,
HAHJ0175	ULK175	HON-515		HAHJ0175_182336, HON-515 RC, ULK175MLBHLIK6-1T(4), 35118-T0A-A30, 74213, 35118-T7S-A00,
HAHJ0110	ULK110	HON-521		35118-TGG-A00, 182340,
HAHT0016	HON016	HON-482	TIK-HON-11R	35118-SDA-A11, HON-482 RC, TIK-HON-11N, 182334,
OE_PP	OE_PP
HAHT0017	HON017	HON-488	TIK-HON-16R	HAHT0017_182329, 35118-TA0-A00, 35118-TA0-A01, 35118-TA0-A02, 182329, TIK-HON-16N, 182329, HON017KR55WK49308(4), HON-488 RC,
HAHT0021	HON021	HON-484	TIK-HON-14R	HON-484-DS, 35111-SVA-306, TIK-HON-14N,182332,
GMPA5294	ULK5294	GM-1002		13555294, 200312,
HAHT0051	HON051	HON-482 F	171915.0	35111-S9A-305, HON-482 F RC,
HAHT0184	ULK184	HON-499	TIK-HON-46R	HAHT0184_182338, 35118-T2A-A20, TIK-HON-46N,182338, HON-499 RC, 35118-T2A-A20, TIK-HON-46R, 182338,
HGPH0493	ULK493	HYU-1310	TIK-HYU-112R	95440-S8010, 171789,
HAHT4882		HON-488 M2	171905.0	155442, OEM-HON-488 M2, 35118-TA0-A04, HON-488 M2 RC, 171905,
HAPB4702	HON065		172001.0	72147-TVA-A02, HON065CWTWB1G0090(5),
HAPD0102	HON102	HON-539	149933.0	72147-THR-A51,OEM-HON-539, 181172, HAPD0108,
GMFR027	ULK027	GM-789		20873620, ULK027S, 5913597ALB002,
HAPD0107	HON107	HON-539 M1	182773.0	HON102KR5T4X(7)DRIVER1, 72147-THR-A61,
HAPB0046	HON046	HON-517	TIK-HON-69R	181162, 72147-TBA-A12, HON046KR5V2X(5),
GMFT0033	ULK033	GM-790		13504205,
HAPD4772	HON102D2	HON-539 M2	TIK-HON-110NM2	72147-THR-A72, 182774, HON102KR5T4X(7)DRIVER2,
HGPB4500	ULK4500	HYU-1444	TIK-HYU-219R	TIK-HYU-219N, 201292, 95440-AA500,
HAPH0060	HON060	HON-533		HON060KR5T4X(5), 72147-TG7-A61, 172018, HON-533 RC, 204159, OEM-HON-533, 172019,
KAFA0026	KIA026	KIA-1137	TIK-KIA-39R	95430-1W020, HKG-C3-0090-F-B, OEM-KIA-1137, 182255,
HAPH0109	HON109	HON-514	181164.0	HON-514 RC, 172014, HAPH0111_172014, HAPH7711_181164, 181164,
HAPH0111		HON-561	200655.0	72147-TLA-A02, OEM-HON-561, 188772,
HAPH0111		HON-561	HON111KR5V2X(5)
HAPH7711	HON038		TIK-HON-65R	72147-TG7-A11, HON038KR5V2X-V44(5),
HAPH7731	HON038D1		TIK-HON-112R	HON038KR5V2X-V44(5)DRIVER1, 72147-TG7-A31,
HAPJ0020	ACU020	ACURA-905 D1	180962.0	ACU020KR5V1X(4)DRIVER1
HAPT0211	ACU021D1	ACURA-909 M1	TIK-ACU-39NM2	72147-TZ3-A01, 181105, ACU021, ACURA-909 M1 RC, 171938, HAPT0021,
HAPT0077	ACU077	ACURA-917 D2	180975.0	72147-TZ3-A32, ACU036KR5V2X(4)DRIVER2
